Country,Region,Population,Exports(% of GDP),Imports (% of GDP),Inflation rate (annual %),Labor force,GDP per capita (current US$),GNI per capita (current LCU),Unemployment rate (% of total labor force)
Afghanistan,South Asia,40099462,0,0,0,9390149,368.7546142,31002.95782,13.28299999
Armenia,West Asia,2790974,35.33597954,43.83078385,7.184836294,1153003,4966.513471,2428633.035,20.89699936
Azerbaijan,West Asia,10137750,46.66172003,29.90898978,6.650299127,4919135,5387.997975,8968.755394,6.583000183
Bahrain,West Asia,1463265,0,0,-0.606319385,819130,26562.96914,0,1.873999953
Bangladesh,South Asia,169356251,10.6627789,17.0612258,5.545654308,70961067,2457.92488,219418.9218,5.229000092
Bhutan,South Asia,777486,31.82539726,52.73620344,7.346838598,360953,3266.364905,226711.3493,4.331999779
Brunei Darussalam,Southeast Asia,445373,80.16891086,66.9542018,1.733413885,219828,31449.07656,42531.76551,7.649000168
Cambodia,Southeast Asia,16589023,64.60246307,67.61144273,2.920734776,9345426,1625.23502,6314820.878,0.611999989
China,East Asia,1412360000,20.03776186,17.43119637,0.981015136,791382586,12556.33312,80237.3191,4.816999912
Cyprus,West Asia,1244188,86.61696238,83.69550718,2.446088672,655118,31551.81641,24423.27539,6.130000114
Georgia,West Asia,3708610,43.18690613,59.63428993,9.566914338,1724354,5023.27438,15163.80094,10.6590004
"Hong Kong SAR, China",East Asia,7413100,203.5240839,198.699159,1.568758344,3841871,49800.54241,414759.0077,5.315000057
India,South Asia,1407563842,21.39853422,23.89173153,5.131407472,476670190,2256.590409,165508.2679,5.978000164
Indonesia,Southeast Asia,273753191,21.56081101,18.86195672,1.560129905,138119194,4332.709281,60339955.35,4.413000107
"Iran, Islamic Rep.",South Asia,87923432,22.83923199,21.53460206,43.38901627,27682072,4091.209187,761990952,11.46100044
Iraq,West Asia,43533592,37.64526953,24.17608402,6.041864891,11183659,4775.377454,6855543.735,14.19200039
Israel,West Asia,9364000,29.45899334,25.50393195,1.492288454,4186239,52170.71186,165982.0664,5.045000076
Japan,East Asia,125681593,18.42767619,18.9523103,-0.233352779,68629364,39312.66037,4479279.635,2.799000025
Jordan,West Asia,11148278,30.30780468,51.13608795,1.346093772,2864755,4103.258966,2897.661224,19.25200081
Kazakhstan,Central Asia,19000988,33.54685171,23.99704961,0,9247861,10373.78979,3876079.265,4.900000095
"Korea, Rep.",East Asia,51744876,42.03549524,38.45684471,2.498333333,28673669,34997.78164,40481714.56,3.532000065
Kyrgyz Republic,Central Asia,6691800,39.31465525,69.07959678,11.90503982,2477675,1276.700365,99262.6797,9.104000092
Laos,Southeast Asia,7425057,0,0,3.755620367,3914985,2535.623432,23104911.43,1.258000016
Lebanon,West Asia,5592631,26.02562913,52.80299562,154.756096,1719282,4136.146347,46728714.62,14.48799992
"Macao SAR, China",East Asia,686607,87.9199028,75.98162193,0,404520,43873.59116,359871.95,3.013999939
Malaysia,Southeast Asia,33573874,68.83889445,61.73089716,2.477102415,16739686,11109.26184,44791.40536,4.609000206
Maldives,South Asia,521457,75.29756763,67.78718551,0.543149689,229277,10366.29336,145104.2009,6.078000069
Mongolia,East Asia,3347782,58.54886395,60.54921448,7.352812434,1330610,4566.140154,11110814.79,7.081999779
Myanmar,Southeast Asia,53798084,28.29126129,24.81304837,0,22121595,1209.926942,1755477.993,2.173000097
Nepal,South Asia,30034989,5.209230429,38.60199775,4.087910459,16883864,1208.218534,143185.9157,5.052000046
Oman,West Asia,4520471,52.52660194,41.38954422,1.546637056,2258726,19509.46646,6991.708453,3.121999979
Pakistan,South Asia,231402117,9.058204768,17.99193896,9.496210561,73133159,1505.010193,238072.9572,4.352000237
Philippines,Southeast Asia,113880328,25.74228389,37.75928705,3.927180221,44242102,3460.530963,176540.036,2.405999899
Qatar,West Asia,2688235,58.9141042,34.13172014,2.304465657,1976691,66838.35743,239550.5047,0.257999986
Saudi Arabia,West Asia,35950396,34.76915674,24.34732797,3.063289889,16059717,23185.87079,0,7.357999802
Singapore,Southeast Asia,5453566,184.8354904,153.4742634,2.30485959,3289682,72794.00302,86014.96709,3.624000072
Sri Lanka,South Asia,22156000,16.85111399,24.20755294,7.014780712,8267764,4013.687657,779890.278,5.394999981
Tajikistan,Central Asia,9750064,0,0,0,2500071,897.0475103,12256.87339,7.754000187
Thailand,Southeast Asia,71601103,58.20876177,58.44843464,1.230395413,40213210,7066.190546,218184.9489,1.417999983
Timor-Leste,Southeast Asia,1320942,63.88773783,36.27871732,0,569668,2741.393931,1429.437083,5.073999882
Turkey,West Asia,84775404,35.30301422,35.53190897,19.59649269,32554211,9661.235975,84249.9958,13.38599968
Uzbekistan,Central Asia,34915100,23.73915501,40.14338095,10.84923975,14093526,1983.064723,21098810.45,7.160999775
Vietnam,Southeast Asia,97468029,93.29165167,93.17653158,1.834715548,56202805,3756.489121,82544396.79,2.165999889
